0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,16
0,28
0,33
0,40
0,43
0,45
0,47
0,48
0,49
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
1,13
2,3
2,4
2,5
2,6
2,7
2,8
2,9
2,10
2,11
2,12
2,14
2,16
2,28
2,33
2,40
2,43
2,45
2,47
2,48
2,49
3,4
3,5
3,6
3,7
3,8
3,9
3,10
3,11
3,12
3,13
3,14
3,16
3,28
3,33
3,40
3,43
3,45
3,47
3,48
3,49
4,5
4,6
4,7
4,8
4,9
4,10
4,11
4,12
4,13
5,6
5,7
5,8
5,9
5,10
5,11
5,12
5,13
6,7
6,8
6,9
6,10
6,11
6,12
6,13
7,8
7,9
7,10
7,11
7,12
7,13
8,9
8,10
8,11
8,12
8,13
8,14
8,16
8,28
8,33
8,40
8,43
8,45
8,47
8,48
8,49
9,10
9,11
9,12
9,13
10,11
10,12
10,13
11,12
11,13
12,13
14,16
14,28
14,33
14,40
14,43
14,45
14,47
14,48
14,49
16,28
16,33
16,40
16,43
16,45
16,47
16,48
16,49
21,23
21,24
21,25
22,25
22,28
22,31
23,24
23,25
23,26
23,27
23,28
23,29
23,31
23,36
24,25
24,26
24,27
24,29
24,31
24,32
24,36
24,37
25,27
25,29
25,32
25,34
25,37
27,29
28,33
28,40
28,43
28,45
28,47
28,48
28,49
29,34
29,38
29,44
30,32
30,34
30,36
30,37
30,38
30,41
30,44
30,46
31,32
32,34
32,36
32,37
33,37
33,39
33,40
33,41
33,42
33,43
33,44
33,45
33,47
33,48
33,49
34,35
34,36
34,37
34,38
34,39
34,42
34,43
34,44
34,46
36,38
36,39
36,42
36,43
37,38
37,41
37,43
37,44
38,39
38,43
39,41
40,43
40,45
40,47
40,48
40,49
41,43
41,44
42,43
42,46
43,44
43,45
43,46
43,47
43,48
43,49
44,46
45,47
45,48
45,49
47,48
47,49
48,49
